Date,Title,YYYY,MM,DD,hh,mm,ss
2023-11-30T01:20:34Z,A US Navy plane went into a Hawaii bay. Underwater video shows its tires are touching a coral reef,2023,11,30,1,20,34
2023-11-30T03:16:10Z,California Gov. Newsom pledges $300 million to clean up homeless encampments,2023,11,30,3,16,10
2023-11-30T06:01:00Z,"Two Hamas gunmen open fire at Jerusalem bus stop, killing three",2023,11,30,6,1,0
2023-11-30T10:00:00Z,The 543-word editorial that may have just upended the presidential campaign,2023,11,30,10,0,0
2023-11-30T10:30:00Z,Remarkable before-and-after images reveal the dramatic impact of dam removal: ‘Seeing the Klamath River flow … is inspiring’,2023,11,30,10,30,0
2023-11-30T10:30:54Z,Shoppers infuriated by photos of absurd product on store shelves at 7-Eleven: ‘They need to stop this immediately’,2023,11,30,10,30,54
2023-11-30T12:52:14Z,Sorkin: I was ‘speechless’ after Musk's expletive comments,2023,11,30,12,52,14
2023-11-30T13:15:42Z,"2 Mass. towns safe enough for residents to leave doors unlocked at night, study says",2023,11,30,13,15,42
2023-11-30T13:30:00Z,Sacramento sheriff’s sergeant disciplined for arresting man for being drunk in public in own garage,2023,11,30,13,30,0
2023-11-30T13:32:30Z,"Inflation hits lowest level since 2021, Fed's preferred gauge shows",2023,11,30,13,32,30
2023-11-30T13:51:07Z,US consumer spending slows; labor market steadily easing,2023,11,30,13,51,7
2023-11-30T15:20:54Z,Powerful 'Cannibal' solar burst will hit Earth tonight. Widespread auroras predicted,2023,11,30,15,20,54
2023-11-30T16:09:00Z,Former Apple worker reveals top 7 iPhone hacks that completely change how you use it,2023,11,30,16,9,0
2023-11-30T16:15:00Z,"Mark Cuban's Dallas Mavericks sale may be 'red flag' for the NBA, one major sports media personality says",2023,11,30,16,15,0
2023-11-30T17:26:00Z,8 new cars that are selling below MSRP,2023,11,30,17,26,0
2023-11-30T18:16:36Z,"BoC to cut rates starting in Q2 2024, house prices seen flat in 2024: Reuters poll",2023,11,30,18,16,36
2023-11-30T18:32:40Z,Trump’s 48-Hour Manic Rant Had Immediate Consequences,2023,11,30,18,32,40
2023-11-30T18:36:00Z,Fact Check: Disney+ Lost 23M Subscribers in One Night After Trying to 'Cancel' Elon Musk?,2023,11,30,18,36,0
2023-11-30T20:30:00Z,Millennials are baffled by the way Gen Z uses the camera app on their phones,2023,11,30,20,30,0
2023-11-30T21:01:02Z,Suspect Arrested After Stomping on Car Window: Cops,2023,11,30,21,1,2
2023-11-30T21:29:05Z,WATCH: Karine Jean-Pierre storms out of White House press briefing when pressed by African reporter,2023,11,30,21,29,5
2023-11-30T21:51:19Z,Apple issues emergency security updates for iPhones and Macs — protect yourself now,2023,11,30,21,51,19
2023-11-30T21:57:49Z,I'm a doctor and my healthy 16-year-old daughter died suddenly from the flu,2023,11,30,21,57,49
2023-11-30T22:56:22Z,"Maverick Carter, LeBron James' manager, reportedly used illegal bookie to bet on NBA",2023,11,30,22,56,22
2023-12-01T01:12:15Z,Scores reported killed in Gaza as fighting shatters Israel-Hamas truce,2023,12,1,1,12,15
2023-12-01T03:16:32Z,"Clinton Twp. man stuck in vent died of accidental asphyxiation, examiner says",2023,12,1,3,16,32
2023-12-01T05:18:23Z,Huawei is allegedly building a self-sufficient chip network using state investment fund,2023,12,1,5,18,23
2023-12-01T10:30:50Z,This major American city is facing a crisis as one of its most important assets faces destruction: ‘Facing a lot of risks’,2023,12,1,10,30,50
2023-12-01T12:49:00Z,"Mouse feces. Dead bugs. Birds in dining room. Wichita KS restaurant, hotel inspections",2023,12,1,12,49,0
2023-12-01T14:48:00Z,2024 Toyota Tacoma factory accessory list leaked,2023,12,1,14,48,0
2023-12-01T15:19:09Z,US appeals court says Trump must face lawsuits over US Capitol attack,2023,12,1,15,19,9
2023-12-01T15:33:54Z,Venomous creature lurking — and hunting — in California desert is new species. See it,2023,12,1,15,33,54
2023-12-01T16:44:33Z,A teenage girl who says she discovered a camera in an airplane bathroom is suing American Airlines,2023,12,1,16,44,33
2023-12-01T16:49:43Z,"Tampa woman posed as home-school student, molested boy she met online: police",2023,12,1,16,49,43
2023-12-01T17:15:00Z,"Tesla Offers $1,000 To Cybertruck Reservation Holders To Get A Different Tesla",2023,12,1,17,15,0
2023-12-01T17:23:52Z,‘Leaning tower’ in Italy on ‘high alert’ for collapse,2023,12,1,17,23,52
2023-12-01T17:24:00Z,Israel is now attacking the true Hamas stronghold,2023,12,1,17,24,0
2023-12-01T17:48:32Z,George Santos Has 5-Word Response To Being Expelled From Congress,2023,12,1,17,48,32
2023-12-01T18:56:07Z,The Benefits of Walking Are Greater If You Do This One Simple Thing,2023,12,1,18,56,7
2023-12-01T19:30:55Z,"Putin orders the Russian military to add 170,000 troops for a total of 1.32 million",2023,12,1,19,30,55
2023-12-01T20:33:54Z,"Trump should not face trial in Georgia if he wins 2024 election, lawyer says",2023,12,1,20,33,54
2023-12-01T20:59:02Z,Newsom’s Wife Reportedly Put an End to Fiery Fox News Debate,2023,12,1,20,59,2
2023-12-01T21:03:17Z,This Metro Area Could Become Bigger Than New York Or Los Angeles In Your Lifetime,2023,12,1,21,3,17
2023-12-01T21:15:08Z,Kansas City teacher on leave after inappropriate videos shown in class,2023,12,1,21,15,8
2023-12-01T21:29:00Z,McDonald's Is Making Major Changes To Its Burgers,2023,12,1,21,29,0
2023-12-01T21:38:05Z,The Extraordinary Tale Of USS Salmon's Escape From Destruction,2023,12,1,21,38,5
2023-12-01T21:49:15Z,Forget the ‘tripledemic.’ The U.S. is headed for a ‘syndemic’ this winter—and experts warn we’re not prepared,2023,12,1,21,49,15
2023-12-01T21:54:00Z,"Derek Chauvin was stabbed 22 times in federal prison attack, charges say",2023,12,1,21,54,0
2023-12-01T22:14:31Z,Exclusive-Boeing eliminated from US Air Force's 'Doomsday Plane' competition,2023,12,1,22,14,31
2023-12-01T23:28:33Z,Video shows Russian soldier saying some troops mixed river water in a can of meat and drank it for a week so they wouldn't starve,2023,12,1,23,28,33
2024-06-22T16:23:12Z,Astronauts stranded in space face further setback to return home,2024,6,22,16,23,12
2024-06-22T16:30:28Z,The Unhealthiest Steak Cuts You Can Buy,2024,6,22,16,30,28
2024-06-22T17:40:18Z,Atlanta police release body camera footage of judge’s arrest after incident with officer,2024,6,22,17,40,18
2024-06-22T18:43:34Z,The Country that Drinks that Most Alcohol per Capita in 2024,2024,6,22,18,43,34
2024-06-22T19:20:52Z,Suspect identified in grocery store shooting,2024,6,22,19,20,52
2024-06-22T20:31:01Z,Companies that give money to Democrats are beating Republican donors in the stock market,2024,6,22,20,31,1
2024-06-22T21:00:04Z,I’m a Bank Teller: 4 Reasons You Should Withdraw Your Savings Right Now,2024,6,22,21,0,4
2024-06-23T04:03:34Z,A Mexico City neighborhood keeps the iconic Volkswagen Beetle alive,2024,6,23,4,3,34
2024-06-23T04:04:11Z,It was meant to be a Christian utopia. Now this Nigerian community is helpless against rising seas,2024,6,23,4,4,11
2024-06-23T05:02:40Z,Coup-hit Niger was betting on a China-backed oil pipeline as a lifeline. Then the troubles began,2024,6,23,5,2,40
2024-06-23T05:12:06Z,"Yaccarino shakes up X amid Musk's pressure on costs, FT says",2024,6,23,5,12,6
2024-06-23T06:14:44Z,"Philippines says it won't back down, but won't start a war, after clash with Chinese Coast Guard",2024,6,23,6,14,44
2024-06-23T10:57:20Z,Netanyahu says Israel is winding down its Gaza operations. But he warns a Lebanon war could be next,2024,6,23,10,57,20
2024-06-23T11:00:00Z,Scientists make breakthrough in recycling old concrete — and it could have major implications,2024,6,23,11,0,0
2024-06-23T11:00:54Z,What's a Good Monthly Retirement Income for a Couple?,2024,6,23,11,0,54
2024-06-23T11:30:19Z,Lyme disease is becoming a bigger problem. Which states have the most cases?,2024,6,23,11,30,19
2024-06-23T12:00:00Z,Why it’s too late to stop World War 3,2024,6,23,12,0,0
